customer_id,product_id,rating,content,customer_index,product_index
1553755,57767468,5,,161,266
14156527,468077,5,Tốt,505,37
15557505,468077,5,,535,37
17471525,274364967,5,,573,666
5917418,22172572,5,,248,181
5137461,22172572,5,"Sách hay,có những ý tưởng hay và phát triển ý tưởng đó rất thú vị.",206,181
25519269,22172572,5,Sách hay,676,181
18070225,22172572,5,,592,181
2052582,17944552,5,Sản phẩm tốt đóng gói kỹ đẹp còn nội dung thì chưa đọc nên sẽ đánh giá sau,193,167
5461671,106362503,5,,228,356
368266,46107066,5,sân phẩm ok không em biêt em ghi lại trong việt nam đã support em trong cty bên Sin ma áp vô cùng anh em nhau la vay anh qua cho mình để mình tìm hiểu thêm nhé 2tr tiền lại giúp anh tiền cọc với em nhưng bạn này nice day anh Giang trên đoa của mình nhưng bản,49,239
8599820,46107066,5,"Một cuốn sách hay, giao nhanh, sách đẹp, mua hàng ở tiki luôn yên tâm về chất lượng. đầu tư cho tri thức là khoản đầu tư đúng đắn",352,239
19446943,46107066,5,,616,239
7571785,46107066,5,,309,239
26742814,46107066,5,Giao hành đúng hạn sách đẹp nguyên venh nội dung thì chx đọc nên chx biết nhưng thấy review hay,681,239
865999,46107066,4,"Mình chưa đọc hết nhưng sách khá hay và hữu ích, đặc biệt cho các bạn teen và người thiếu tập trung.",106,239
5531649,46107066,5,,232,239
2227428,46107066,5,,202,239
1349027,46107066,5,"Kiến thức trong sách rất giá trị, tác giả viết sách mình từng gặp và đọc bản sách tiếng Anh. :)",145,239
57218,46107066,5,"“Học cách học là một trong những kỹ năng giỏi nhất mà bạn cần để sở hữu”. Mình đọc cuon sách với một tâm thế da biết hết những thứ trong sách rồi, nhưng thật sự đã bất ngờ trước những điều cuốn sách mang lại. quả thật xứng đáng là tác giả của một trong những khoá học được nhiều người học nhất thế giới.",13,239
25519269,46107066,5,,676,239
17864394,46107066,5,,591,239
8136353,46107066,3,"nội dung bình thường, giao hàng nhanh",335,239
586855,46107066,5,,81,239
177416,46107066,5,,33,239
15195,46107066,5,Sách rất hay về tự học. Có thể kết hợp thêm với khoá học online.,4,239
11310754,46107066,5,,421,239
10025671,46107066,5,,384,239
16650557,46107066,5,,556,239
1384584,46107066,5,,149,239
22555105,46107066,5,,660,239
990696,46107066,5,,118,239
11280300,46107066,5,,420,239
18070225,46107066,5,,592,239
7658490,46107066,4,,314,239
920496,46107066,5,,111,239
7621628,46107066,5,,312,239
7846265,46107066,5,,324,239
1503284,46107066,5,"Sách rất hay, giải thích một cách rất khia học và dễ hiểu, có đi kèm rất nhiều giải pháp cụ thể.",156,239
11891788,46107066,5,hay,445,239
1060680,46107066,5,"Sách đẹp, giao hàng nhanh, rất hài long",122,239
1695902,46107066,4,,170,239
503584,46107066,5,,67,239
13513176,46107066,5,,486,239
5953228,46107066,5,,249,239
1818107,46107066,5,,179,239
8264530,46107066,5,Sách hay,342,239
1621495,46107066,5,,164,239
5176086,46107066,5,Rất hay,209,239
6516078,46107066,5,,267,239
891969,46107066,5,,108,239
9752826,21053410,5,Tốt,374,171
1105768,707347,5,Sách hay.,124,62
21151479,707347,5,"sách hay, giao nhanh",633,62
10458646,707347,5,,399,62
8458949,707347,4,,349,62
21654527,3653513,5,,644,98
381808,3653513,5,,52,98
1657646,3653513,4,,167,98
386342,2014917,5,"Sách giao nhanh, chất lượng. Rất hài lòng về Tiki. Sẽ luôn ủng hộ Tiki và các nhà bán.",53,85
17765243,2014917,5,Hay,586,85
651562,2014917,3,"Giá 55k, cuốn được sale nhiều do không quá hấp dẫn",88,85
9907965,2014917,5,,381,85
11999970,22367462,5,,451,186
6018022,46107066,5,,255,239
26959942,40848432,5,,682,225
20073,337881,4,"Đây là một tác phẩm lôi cuốn và hấp dẫn độc giả ngay từ những trang sách đầu tiên, một tác phẩm triết học hay nhất mà mình được đọc từ trước đến nay. ""Học cách sống"" có một cách tiếp cận thật mới lạ, độc đáo, đem đến những hiểu biết cơ bản nhưng cần thiết nhất về triết học. Không có những diễn giải khó hiểu, khô khan, cuốn sách là những bài học gần gũi, thú vị về triết học, với những ví dụ sinh động, cho thấy mối liên hệ chặt chẽ giữa triết học và cuộc sống. Thông qua mỗi trang viết, người đọc không chỉ mở rộng hiểu biết về một lĩnh vực xưa nay bị coi là khó nhằn, mà còn thu lượm được nhiều bài học bổ ích về cuộc sống. Một cuốn sách không nên bỏ qua.",6,8
2795,337881,5,Bỏ qua tiêu đề sách gây “tranh cãi” thì đây chính là cuốn sách dành cho những ai quan tâm  và muốn khám  phá “triết học” .. Một đề tài mới nghe thôi đã thấy nản lòng. Nhưng cuốn sách này mình cảm thấy sự khác biệt trong từng trang sách nó gần như là cuốn “nhập môn triết học” theo đúng nghĩa . Triết học được diễn giải trong cuốn sách không dùng những từ hàn lâm chuyên môn mà dùng những ví dụ sinh động nhất dễ hiểu nhất . . Và trên hết “triết học ” là một đề tài quá lớn mà bạn dễ bị lạc lối khi trên đường tìm tòi nó. Cuốn sách còn định hướng những điều đúng đắn cho chúng ta.Cuốn sách này là món quà dành cho những người muốn khám phá bản chất của thế giới,1,8
16319839,12138654,5,"Xuất sắc, một cuốn sách bắt đúng bệnh của mình và một kế hoạch thực sự bài bản về kinh doanh dịch vụ số. Đúng là mình cũng đã từng kinh doanh 1 loại hình dịch vụ nhưng còn quá nhiều phân khúc. Chọn đúng phân khúc khách hàng của mình - phân khúc mang lại nhiều doanh thu nhất mới là tốt nhất. Đừng tiếc những khách hàng tồi tệ mà để họ ăn mòn đi động lực của mình. Nhiều khách hàng hơn không tốt hơn đâu, khách hàng tốt hơn mới là tốt hơn. Bởi cuốn này xuất sắc quá mà mình phải mua thêm những cuốn sách khác của Mike như khởi nghiệp từ *** khó, dòng tiền gắn liền lợi nhuận. Nhưng tại ấn tượng ban đầu khó phai quá mà mình vẫn đánh giá cuốn này đáng tiền :))). 5* cho Tiki giao hàng nhanh, sách đẹp, mới và thơm.",549,149
16726778,12138654,5,,558,149
730822,12138654,5,"Khá hấp dẫn, tiki giao nhanh, mong sẽ áp dụng được",96,149
17546940,12138654,5,,581,149
