customer_id,product_id,rating,content,title,thank_count,customer_index,product_index
5137461,170706996,5,"Sách hay,có những ý tưởng hay và phát triển ý tưởng đó rất thú vị.",Cực kì hài lòng,1,103,743
25519269,170706996,5,Sách hay,Cực kì hài lòng,0,339,743
18070225,170706996,5,,Cực kì hài lòng,0,296,743
368266,46107066,5,sân phẩm ok không em biêt em ghi lại trong việt nam đã support em trong cty bên Sin ma áp vô cùng anh em nhau la vay anh qua cho mình để mình tìm hiểu thêm nhé 2tr tiền lại giúp anh tiền cọc với em nhưng bạn này nice day anh Giang trên đoa của mình nhưng bản,Cực kì hài lòng,0,24,331
8599820,46107066,5,"Một cuốn sách hay, giao nhanh, sách đẹp, mua hàng ở tiki luôn yên tâm về chất lượng. đầu tư cho tri thức là khoản đầu tư đúng đắn",Cực kì hài lòng,1,187,331
19446943,46107066,5,,Cực kì hài lòng,0,309,331
5531649,46107066,5,,Cực kì hài lòng,0,118,331
2227428,46107066,5,,Cực kì hài lòng,0,101,331
1349027,46107066,5,"Kiến thức trong sách rất giá trị, tác giả viết sách mình từng gặp và đọc bản sách tiếng Anh. :)",Cực kì hài lòng,0,68,331
57218,46107066,5,"“Học cách học là một trong những kỹ năng giỏi nhất mà bạn cần để sở hữu”. Mình đọc cuon sách với một tâm thế da biết hết những thứ trong sách rồi, nhưng thật sự đã bất ngờ trước những điều cuốn sách mang lại. quả thật xứng đáng là tác giả của một trong những khoá học được nhiều người học nhất thế giới.",Đây là cuốn sách tuyệt vời cho tất cả mọi người từ trẻ em cho đến người lớn,4,6,331
25519269,46107066,5,,Cực kì hài lòng,0,339,331
17864394,46107066,5,,Cực kì hài lòng,0,295,331
8136353,46107066,3,"nội dung bình thường, giao hàng nhanh",Bình thường,0,175,331
586855,46107066,5,,Cực kì hài lòng,0,37,331
15195,46107066,5,Sách rất hay về tự học. Có thể kết hợp thêm với khoá học online.,Cực kì hài lòng,0,2,331
11310754,46107066,5,,Cực kì hài lòng,0,219,331
10025671,46107066,5,,Cực kì hài lòng,0,204,331
16650557,46107066,5,,Cực kì hài lòng,0,278,331
1384584,46107066,5,,Cực kì hài lòng,0,71,331
22555105,46107066,5,,Cực kì hài lòng,0,331,331
990696,46107066,5,,Cực kì hài lòng,0,55,331
18070225,46107066,5,,Cực kì hài lòng,0,296,331
7846265,46107066,5,,Cực kì hài lòng,0,168,331
1503284,46107066,5,"Sách rất hay, giải thích một cách rất khia học và dễ hiểu, có đi kèm rất nhiều giải pháp cụ thể.",Cực kì hài lòng,0,74,331
11891788,46107066,5,hay,Cực kì hài lòng,0,231,331
1060680,46107066,5,"Sách đẹp, giao hàng nhanh, rất hài long",Cực kì hài lòng,0,58,331
1695902,46107066,4,,Hài lòng,0,79,331
503584,46107066,5,,Cực kì hài lòng,0,33,331
13513176,46107066,5,,Cực kì hài lòng,0,247,331
5953228,46107066,5,,Cực kì hài lòng,0,126,331
1818107,46107066,5,,Cực kì hài lòng,0,85,331
8264530,46107066,5,Sách hay,Cực kì hài lòng,0,180,331
5176086,46107066,5,Rất hay,Cực kì hài lòng,0,106,331
6516078,46107066,5,,Cực kì hài lòng,0,138,331
891969,46107066,5,,Cực kì hài lòng,0,51,331
21654527,3653513,5,,Cực kì hài lòng,0,324,146
381808,3653513,5,,Cực kì hài lòng,0,25,146
1657646,3653513,4,,Hài lòng,0,78,146
386342,2014917,5,"Sách giao nhanh, chất lượng. Rất hài lòng về Tiki. Sẽ luôn ủng hộ Tiki và các nhà bán.",Cực kì hài lòng,0,26,125
17765243,2014917,5,Hay,Cực kì hài lòng,0,291,125
651562,2014917,3,"Giá 55k, cuốn được sale nhiều do không quá hấp dẫn",Bình thường,0,42,125
9907965,2014917,5,,Cực kì hài lòng,0,203,125
17546940,12138654,5,,Cực kì hài lòng,0,290,202
5226292,12138654,5,"Mình mua 2 cuốn luôn. Nội dung hay, dễ hiểu.💯",Cực kì hài lòng,0,109,202
9907965,12138654,5,,Cực kì hài lòng,0,203,202
18278431,12138654,5,,Cực kì hài lòng,0,302,202
1503284,12138654,5,,Cực kì hài lòng,0,74,202
98653,170298025,5,,Cực kì hài lòng,0,11,741
990696,170298025,5,,Cực kì hài lòng,0,55,741
19455780,170298025,5,,Cực kì hài lòng,0,310,741
18343577,275337800,5,"Nổi tiếng từ rất lâu nhưng nay mới dc cầm trên tay.Đúng như những gì đã dc xem review qua,sách chỉ cho ta thấy cách thức để đánh thúc tài năng bằng phương pháp tập luyện sâu,thắp lửa đam mê,phương pháp huấn luyện bậc thầy.Đây là cuốn sách mà mọi ng có tố chất và tài năng mong muốn dc trui rèn tài năng đó lên tầm cao mới",Cực kì hài lòng,1,303,1200
