customer_id,product_id,rating,content,title,thank_count
2119875,12416734,5,,Cực kì hài lòng,0
22628730,12416734,4,Đóng gói ok . Chất lượng OK. Nội dung ko hay lắm,Hài lòng,0
21351313,12416734,5,cực hài lòng. giao sớm hơn dự kiến. sách chất lượng tốt,Cực kì hài lòng,0
14148210,12416734,5,,Cực kì hài lòng,0
522878,12416734,4,,Hài lòng,0
11299426,12416734,5,"Sách hay,bìa đẹp,giao hàng nhanh gói cẩn thận nói chung là ukie ?❤️",Cực kì hài lòng,1
12436215,12416734,5,,Cực kì hài lòng,0
11736484,12416734,5,,Cực kì hài lòng,0
2119699,12416734,5,Cách viết của tác giả theo mình thấy có hơi rườm rà. Nhưng cuốn sách vẫn đảm bảo mang đến cho bạn những gì nó đã hứa,Tốt,1
6923159,12416734,4,,Hài lòng,0
6275320,12416734,5,,Cực kì hài lòng,0
366809,12416734,5,"- Noi Dung: ngan ngon, suc tich, de hieu. - Tiki: giao hang nhanh",Hai Long,0
16780673,12416734,5,,Cực kì hài lòng,0
120954,12416734,5,.,Cực kì hài lòng,0
7328915,12416734,3,Giao hàng nhanh đóng gói kĩ,Bình thường,0
928843,12416734,2,,Không hài lòng,0
18070435,21053410,5,,Cực kì hài lòng,0
28240391,21053410,5,Sp tốt giấy in sắc nét,Cực kì hài lòng,0
12512155,21053410,5,,Cực kì hài lòng,0
14611591,21053410,5,,Cực kì hài lòng,0
7909175,21053410,5,,Cực kì hài lòng,0
15944981,21053410,4,,Hài lòng,0
28610854,21053410,4,,Hài lòng,0
7895685,21053410,5,,Cực kì hài lòng,0
12461849,21053410,3,"Bìa sách bị biến dạng, sách bị rách 1 trang",Bình thường,0
8991037,21053410,5,,Cực kì hài lòng,0
18337861,21053410,5,,Cực kì hài lòng,0
1772677,21053410,5,,Cực kì hài lòng,0
5240409,21053410,4,,Hài lòng,1
10943287,21053410,5,,Cực kì hài lòng,0
9752826,21053410,5,Tốt,Cực kì hài lòng,0
16717360,21053410,5,,Cực kì hài lòng,0
17588725,21053410,4,,Hài lòng,1
329185,21053410,5,,Cực kì hài lòng,0
17450929,21053410,5,,Cực kì hài lòng,0
26248653,150553700,5,,Cực kì hài lòng,0
11040842,150553700,5,,Cực kì hài lòng,0
19647350,150553700,5,,Cực kì hài lòng,0
22577438,162530673,5,,Cực kì hài lòng,0
28211274,162530673,5,Tốt,Cực kì hài lòng,0
24741548,162530673,5,,Cực kì hài lòng,0
10032209,162530673,5,,Cực kì hài lòng,0
8014174,162530673,4,,Hài lòng,0
21504957,162530673,5,,Cực kì hài lòng,0
760877,162530673,5,,Cực kì hài lòng,0
27387401,162530673,5,"đóng gói cản thận, giao hàng nhanh",Cực kì hài lòng,0
9812230,229726201,5,,Cực kì hài lòng,0
